ZIPCODE,safety_level
10036,1
10001,1
10029,1
11212,1
10456,1
10035,1
10027,1
10452,1
11207,1
10457,1
00083,1
10455,1
10451,1
11206,1
10002,1
10467,1
10003,1
10020,1
11226,1
11233,1
11208,1
10453,1
11201,1
10019,1
10459,1
10011,1
10458,1
11221,1
10025,1
10468,1
11213,1
10026,1
10012,1
10460,1
10018,1
10030,1
10454,1
10031,1
11203,1
10022,2
11216,2
10472,2
10013,2
10466,2
10039,2
10023,2
10009,2
11236,2
11434,2
10016,2
11373,2
11220,2
10473,2
11225,2
11217,2
10010,2
11372,2
10032,2
10463,2
10033,2
11368,2
11691,2
10014,2
11224,2
10111,2
10007,2
11385,2
10462,2
10112,2
11211,2
11237,2
10017,2
11354,2
11205,2
11210,2
10469,2
10038,2
11234,2
11214,3
10037,3
11432,3
11238,3
11101,3
10461,3
11433,3
10028,3
11103,3
10065,3
10301,3
11235,3
11370,3
10034,3
11209,3
11369,3
10005,3
11377,3
10024,3
10128,3
10314,3
11223,3
11435,3
11229,3
10004,3
10006,3
10304,3
10040,3
11355,3
11215,3
11419,3
11230,3
11231,3
11249,3
11219,3
10465,3
10303,3
11420,3
10475,3
11222,4
11106,4
11218,4
10075,4
11418,4
11417,4
10021,4
11102,4
11693,4
11375,4
11232,4
11204,4
10306,4
11412,4
11413,4
10310,4
10474,4
11692,4
10302,4
10305,4
11374,4
11421,4
11416,4
11239,4
11367,4
11104,4
11429,4
11378,4
11105,4
11365,4
11423,4
10470,4
11428,4
11422,4
11228,4
11436,4
10282,4
11096,4
10312,4
11356,5
11361,5
11379,5
11109,5
11414,5
10281,5
11358,5
11694,5
11411,5
11357,5
10309,5
11415,5
10280,5
10471,5
10308,5
10307,5
11427,5
10115,5
11364,5
11426,5
11430,5
10048,5
11366,5
11251,5
10464,5
11362,5
11360,5
11004,5
10044,5
10069,5
11001,5
11363,5
11005,5
11040,5
10169,5
11697,5
11451,5
10080,5
11371,5
11359,5
